STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
5;IV.1.Khung pháp lý chuyển đổi số, chuyển đổi số ngành ngân hàng;IV.1;Theo Thông tư 64/2024/TT-NHNN, để minh bạch thông tin và tạo điều kiện cho các bên thứ ba kết nối, ngân hàng bắt buộc phải công khai danh mục các Open API đang cung cấp tại đâu?;Trên Cổng thông tin điện tử của Ngân hàng Nhà nước Việt Nam.;Trên các nền tảng mạng xã hội (Facebook, Zalo) của ngân hàng.;Trên trang thông tin điện tử (Website) chính thức của chính ngân hàng đó.;Trên Cổng Dịch vụ công Quốc gia.;C;Thông tư 64/2024/TT-NHNN;Điều 9;;;;;;;;;;;;;;;
6;IV.2.Bảo vệ dữ liệu cá nhân;IV.2;Theo Luật Bảo vệ dữ liệu cá nhân 2025, dữ liệu cá nhân được chia thành những loại nào?;Dữ liệu sơ cấp và dữ liệu thứ cấp;Dữ liệu công khai và dữ liệu bí mật;Dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm;Dữ liệu định danh và dữ liệu phi định danh;C;Luật 91/2025/QH15;Khoản 1 Điều 2 Luật 91/2025/QH15;;;;;;;;;;;;;;;
7;IV.2.Bảo vệ dữ liệu cá nhân;IV.2;Trường hợp nào sau đây việc xử lý dữ liệu cá nhân KHÔNG cần sự đồng ý của chủ thể dữ liệu?;Để thực hiện hoạt động quảng cáo sản phẩm mới;Để bảo vệ tính mạng, sức khỏe của chủ thể dữ liệu trong trường hợp cấp bách;Để nghiên cứu thị trường cho doanh nghiệp;Để chia sẻ dữ liệu cho đối tác kinh doanh;B;Luật 91/2025/QH15;Điểm a khoản 1 Điều 19 Luật 91/2025/QH15;;;;;;;;;;;;;;;
8;IV.2.Bảo vệ dữ liệu cá nhân;IV.2;Mức phạt tiền tối đa đối với hành vi mua, bán dữ liệu cá nhân là bao nhiêu (trong trường hợp có khoản thu lợi bất chính)?;01 tỷ đồng;03 tỷ đồng;05 lần khoản thu có được;10 lần khoản thu có được từ hành vi vi phạm;D;Luật 91/2025/QH15;Khoản 3 Điều 8 Luật 91/2025/QH15;;;;;;;;;;;;;;;
9;IV.2.Bảo vệ dữ liệu cá nhân;IV.2;Theo Luật Bảo vệ dữ liệu cá nhân 2025, sự im lặng của chủ thể dữ liệu được hiểu như thế nào?;Được coi là sự đồng ý sau 24 giờ;Được coi là sự đồng ý sau 3 ngày làm việc;Không được coi là sự đồng ý;Được coi là sự đồng ý ngầm định;C;Luật 91/2025/QH15;Điểm d Khoản 4 Điều 9 Luật 91/2025/QH15;;;;;;;;;;;;;;;
10;IV.3.Giao dịch điện tử;IV.3;Theo Luật Giao dịch điện tử 2023, “thông điệp dữ liệu” là gì?;Thông tin được số hóa để lưu trong cơ sở dữ liệu;Thông tin được tạo ra bằng phần mềm và lưu dưới dạng số;Thông tin được tạo ra, được gửi, được nhận, được lưu trữ bằng phương tiện điện tử;Thông tin được tạo lập trên Internet để trao đổi giữa các hệ thống;C;Luật Giao dịch điện tử 2023: Thông điệp dữ liệu là thông tin được tạo ra, gửi, nhận và lưu trữ bằng phương tiện điện tử. Các phương án còn lại gần nghĩa nhưng thiếu hoặc sai yếu tố cấu thành theo luật.;Điều 3 Khoản 4;;;;;;;;;;;;;;;
11;IV.3.Giao dịch điện tử;IV.3;Theo Luật Giao dịch điện tử 2023, khi pháp luật yêu cầu thông tin phải được thể hiện bằng văn bản, thông điệp dữ liệu được xem là đáp ứng yêu cầu trong trường hợp nào?;Nếu thông tin trong thông điệp dữ liệu đó có thể truy cập và sử dụng được để tham chiếu;Nếu thông tin trong thông điệp dữ liệu có thể truy cập, sử dụng được để tham chiếu và đã được in ra giấy;Nếu thông tin trong thông điệp dữ liệu có thể truy cập, sử dụng được để tham chiếu và có chữ ký điện tử;Nếu thông tin trong thông điệp dữ liệu có thể truy cập, sử dụng được để tham chiếu và được cơ quan có thẩm quyền xác nhận;A;"Luật Giao dịch điện tử 2023: Điều luật chỉ yêu cầu thông tin trong thông điệp dữ liệu có thể truy cập và sử dụng được để tham chiếu; không bắt buộc thêm điều kiện in ra giấy, ký điện tử hay xác nhận";Điều 9 khoản 1;;;;;;;;;;;;;;;
12;IV.3.Giao dịch điện tử;IV.3;Theo Luật Giao dịch điện tử 2023, thông điệp dữ liệu có giá trị như bản gốc khi đáp ứng đầy đủ yêu cầu nào?;Được ký điện tử và lưu trữ trong hệ thống thông tin;Được bảo đảm toàn vẹn kể từ khi khởi tạo lần đầu tiên và có thể truy cập, sử dụng được dưới dạng một thông điệp dữ liệu hoàn chỉnh;Được gửi từ hệ thống thông tin của cơ quan, tổ chức và có thể in ra giấy;Được lưu trữ an toàn và có mã tra cứu duy nhất;B;Luật Giao dịch điện tử 2023: Điều 10 yêu cầu đồng thời hai điều kiện: bảo đảm tính toàn vẹn kể từ khi khởi tạo lần đầu và có thể truy cập, sử dụng được dưới dạng hoàn chỉnh;Điều 10 khoản 1, 2;;;;;;;;;;;;;;;
13;IV.3.Giao dịch điện tử;IV.3;Trên thông điệp dữ liệu được chuyển đổi từ văn bản giấy, cơ quan nhà nước có thể lựa chọn hiển thị bổ sung hình thức nào sau đây để phục vụ tra cứu thông tin bằng phương tiện điện tử?;Con dấu nổi kỹ thuật số do Ban Cơ yếu Chính phủ cấp phát.;Mã phản hồi nhanh (QR) hoặc hình thức mã hóa khác chứa các thông tin chuyển đổi.;Chữ ký tay của cán bộ chuyển đổi được quét màu (scan) với độ phân giải cao;Hình nền chìm (watermark) logo quốc huy và tên cơ quan chuyển đổi dữ liệu;B;Nghị định 137/2024/NĐ-CP;Điểm a Khoản 1 Điều 4;;;;;;;;;;;;;;;
14;IV.3.Giao dịch điện tử;IV.3;"Theo quy định của Luật Giao dịch điện tử 2023, dịch vụ nào sau đây KHÔNG thuộc nhóm các ""Dịch vụ tin cậy""?";Dịch vụ lưu trữ dữ liệu điện tử thông thường;Dịch vụ cấp dấu thời gian.;Dịch vụ chứng thực thông điệp dữ liệu.;Dịch vụ chứng thực chữ ký số công cộng.;A;Khoản 1 Điều 28, Luật Giao dịch điện tử 2023 (Luật chỉ định danh 3 loại hình dịch vụ tin cậy là B, C và D. Chứng thực hợp đồng điện tử không nằm trong danh mục này).;Khoản 1 Điều 28;;;;;;;;;;;;;;;
15;IV.4.Rủi ro pháp lý trong môi trường số;IV.3;"Chủ thể nào sau đây được xem là ""Chủ quản hệ thống thông tin phục vụ giao dịch điện tử""?";Cơ quan, tổ chức, cá nhân có thẩm quyền quản lý trực tiếp đối với hệ thống thông tin đó.;Đơn vị nhà thầu cung cấp giải pháp, phần mềm để xây dựng và vận hành hệ thống thông tin đó.;Tổ chức cung cấp dịch vụ chứng thực chữ ký số công cộng được tích hợp trên hệ thống.;Bộ Khoa học và Công nghệ hoặc Sở Khoa học và Công nghệ quản lý tại địa bàn.;A;Nghị định 137/2024/NĐ-CP;Khoản 1 Điều 15;;;;;;;;;;;;;;;
16;IV.4.Rủi ro pháp lý trong môi trường số;IV.4;Trong giao kết sản phẩm, dịch vụ ngân hàng trên môi trường số, nhận định nào sau đây là đúng đối với hợp đồng điện tử?;Hợp đồng điện tử luôn có giá trị pháp lý thấp hơn hợp đồng giấy;Hợp đồng điện tử chỉ có hiệu lực khi được in ra giấy và ký tay lại;Hợp đồng điện tử không bị phủ nhận giá trị pháp lý;Hợp đồng điện tử không được dùng trong lĩnh vực ngân hàng;C;Luật giao dịch điện tử 2023;Điều 8, Điều 9 Luật Giao dịch điện tử 2023;;;;;;;;;;;;;;;
17;IV.4.Rủi ro pháp lý trong môi trường số;IV.4;Theo Luật Giao dịch điện tử 2023, chữ ký điện tử có bị phủ nhận giá trị pháp lý chỉ vì được thể hiện dưới dạng chữ ký điện tử hay không?;Có, vì chỉ chữ ký tay mới có giá trị pháp lý đầy đủ;Không, chữ ký điện tử không bị phủ nhận giá trị pháp lý chỉ vì được thể hiện dưới dạng chữ ký điện tử;Có, trừ trường hợp chữ ký số công cộng;Không, nhưng chỉ áp dụng trong giao dịch dân sự, không áp dụng trong giao dịch ngân hàng;B;Luật giao dịch điện tử 2023;Điều 23 Luật Giao dịch điện tử 2023;;;;;;;;;;;;;;;
18;IV.4.Rủi ro pháp lý trong môi trường số;IV.4;Khi ngân hàng thuê một bên xử lý dữ liệu khách hàng để cung cấp dịch vụ số, theo Luật Bảo vệ dữ liệu cá nhân 2025, ngân hàng phải có trách nhiệm nào dưới đây;Sau khi chuyển dữ liệu cho bên xử lý, ngân hàng chuyển toàn bộ trách nhiệm pháp lý sang bên thứ ba;Chỉ cần có hợp đồng thương mại, không nhất thiết phải quy định rõ trách nhiệm, quyền và nghĩa vụ của các bên liên quan đến xử lý dữ liệu cá nhân;Ngân hàng chỉ chịu trách nhiệm nếu trực tiếp làm lộ dữ liệu cá nhân của khách hàng;"Ngân hàng nêu rõ trách nhiệm, quyền và nghĩa vụ của các bên trong thỏa thuận, hợp đồng liên quan đến xử lý dữ liệu cá nhân; lựa chọn bên xử lý dữ liệu cá nhân phù hợp; và chịu trách nhiệm trước chủ thể dữ liệu cá nhân về các thiệt hại do quá trình xử lý dữ liệu cá nhân gây ra";D;Luật bảo vệ dữ liệu cá nhân;Điều 37 Luật Bảo vệ dữ liệu cá nhân 2025;;;;;;;;;;;;;;;
19;IV.4.Rủi ro pháp lý trong môi trường số;IV.4;Trong hoạt động ngân hàng số, dữ liệu sinh trắc học của khách hàng được pháp luật xếp vào nhóm dữ liệu nào dưới đây?;Dữ liệu nội bộ của ngân hàng, không thuộc phạm vi điều chỉnh riêng của pháp luật về bảo vệ dữ liệu cá nhân;Dữ liệu cá nhân nhạy cảm;Dữ liệu được tự do xử lý trên môi trường điện tử nếu phục vụ xác thực giao dịch;Dữ liệu kỹ thuật thông thường của hệ thống thông tin;B;Luật bảo vệ dữ liệu cá nhân & Nghị định 356/2025/NĐ-CP;"Điều 37 Luật Bảo vệ dữ liệu cá nhân 2025; Khoản 6 Điều 23 Nghị định 356/2025/NĐ-CP";;;;;;;;;;;;;;;
20;IV.4.Rủi ro pháp lý trong môi trường số;IV.4;Theo Thông tư 50/2024/TT-NHNN, đâu là một trách nhiệm của đơn vị cung cấp dịch vụ Online Banking nhằm bảo đảm an toàn, bảo mật dữ liệu khách hàng?;Chỉ cần đăng cảnh báo chung trên website của đơn vị;Áp dụng các biện pháp bảo đảm an toàn, bảo mật dữ liệu khách hàng và thông báo cho khách hàng khi xảy ra sự cố làm lộ, lọt dữ liệu của khách hàng;Chỉ xử lý khi khách hàng có khiếu nại hoặc phát sinh thiệt hại;Không cần thông báo cho khách hàng nếu sự cố xuất phát từ bên thứ ba;B;Thông tư 50/2024/TT-NHNN;Điều 19 Thông tư 50/2024/TT-NHNN;;;;;;;;;;;;;;;
21;IV.4.Rủi ro pháp lý trong môi trường số;IV.4;Khi phát hiện hành vi vi phạm về bảo vệ dữ liệu cá nhân có thể xâm phạm đến quyền, lợi ích hợp pháp của khách hàng, cơ quan, tổ chức có liên quan phải làm gì?;Chỉ cần khắc phục nội bộ, không cần thông báo;Chờ đến khi khách hàng khiếu nại mới xử lý;Chỉ cần báo cho đối tác công nghệ;Phải thông báo cho cơ quan chuyên trách bảo vệ dữ liệu cá nhân trong thời hạn luật định, đồng thời ngăn chặn, khắc phục hậu quả và phối hợp xử lý;D;Luật bảo vệ dữ liệu cá nhân;Điều 23 Luật Bảo vệ dữ liệu cá nhân;;;;;;;;;;;;;;;
22;IV.4.Rủi ro pháp lý trong môi trường số;IV.4;Theo Luật Bảo vệ dữ liệu cá nhân 2025 và Nghị định hướng dẫn, tình huống nào dưới đây thể hiện tổ chức chưa thực hiện đúng trách nhiệm bảo đảm xử lý dữ liệu cá nhân đúng mục đích, giới hạn việc thu thập, chuyển giao, lưu trữ phù hợp với quy định pháp luật?;Ngân hàng dùng thông tin khách hàng để thực hiện đúng giao dịch mà khách hàng yêu cầu;Ngân hàng thu thập dữ liệu để mở tài khoản nhưng sau đó chia sẻ cho đối tác tiếp thị sản phẩm khác ngoài mục đích đã thông báo;Ngân hàng lưu lịch sử giao dịch để phục vụ đối soát và khiếu nại;Ngân hàng mã hóa dữ liệu khi lưu trữ;B;Luật bảo vệ dữ liệu cá nhân & Nghị định 356/2025/NĐ-CP;"Điều 37 Luật Bảo vệ dữ liệu cá nhân 2025; Khoản 6 Điều 23 Nghị định 356/2025/NĐ-CP";;;;;;;;;;;;;;;
23;IV.5.Pháp lý Fintech, Bigtech;IV.5;"Trong Luật Giao dịch điện tử 2023, khái niệm ""Chữ ký điện tử"" được hiểu như thế nào?";Là chữ ký được tạo lập dưới dạng dữ liệu điện tử gắn liền hoặc kết hợp một cách lôgíc với thông điệp dữ liệu để xác nhận chủ thể ký và khẳng định sự chấp thuận của chủ thể đó đối với thông điệp dữ liệu;Là hình ảnh chữ ký viết tay của cá nhân được quét (scan) hoặc chụp lại và chèn vào các tài liệu điện tử để xác nhận người gửi;Là chữ ký sử dụng thuật toán khóa không đối xứng, gồm khóa bí mật và khóa công khai để kiểm tra thông điệp dữ liệu;Là thông điệp dữ liệu nhằm xác nhận cơ quan, tổ chức, cá nhân được chứng thực là người ký;A;Luật Giao dịch điện tử số 20/2023/QH15 ngày 22/6/2023;Điều 3 Khoản 11 Luật Giao dịch điện tử 2023 11. Chữ ký điện tử là chữ ký được tạo lập dưới dạng dữ liệu điện tử gắn liền hoặc kết hợp một cách lô gíc với thông điệp dữ liệu để xác nhận chủ thể ký và khẳng định sự chấp thuận của chủ thể đó đối với thông điệp dữ liệu.;;;;;;;;;;;;;;;
24;IV.5.Pháp lý Fintech, Bigtech;IV.5;Cơ chế thử nghiệm có kiểm soát trong lĩnh vực ngân hàng áp dụng cho các đối tượng nào sau đây?;"Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài (không áp dụng đối với điểm c, khoản 2, điều 1); công ty Fintech; cơ quan nhà nước có thẩm quyền; khách hàng và tổ chức, cá nhân có liên quan. ";"Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài; công ty Fintech; khách hàng, nhưng không bao gồm cơ quan nhà nước có thẩm quyền";Công ty Fintech và tổ chức tín dụng, không bao gồm khách hàng;"Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài; công ty Fintech; cơ quan nhà nước có thẩm quyền; khách hàng và tổ chức, cá nhân có liên quan";A;Nghị định 94/2025/NĐ-CP;"Điều 2 Nghị định 94/2025 quy định: ""Điều 2. Đối tượng áp dụng
1. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài theo quy định tại Luật Các tổ chức tín dụng (không áp dụng đối với điểm c khoản 2 Điều 1 Nghị định này).
2. Các công ty công nghệ tài chính.
3. Các cơ quan nhà nước có thẩm quyền.
4. Khách hàng và các tổ chức, cá nhân khác có liên quan đến Cơ chế thử nghiệm.""";;;;;;;;;;;;;;;
